raceNumber;time;contestant;score;child
1;1512821423.2284422;Uris_0_20.000000;3757.5612188;Uris_1_0.010080
1;1512821423.2284422;Fred_0_5.000000;2895.54941475;
1;1512821423.2284422;Rick_0_17.000000;2880.32722629;
1;1512821423.2284422;Walt_0_22.000000;2800.44400689;
1;1512821423.2284422;Zack_0_25.000000;2768.43981139;
1;1512821423.2284422;Theo_0_19.000000;2763.11762812;
1;1512821423.2284422;Anne_0_0.000000;1691.54784319;
1;1512821423.2284422;Daan_0_3.000000;1552.60247983;
1;1512821423.2284422;Xavi_0_23.000000;1465.88454542;
1;1512821423.2284422;Greg_0_6.000000;1406.02423532;RIP
2;1512821432.4438472;Fred_0_5.000000;3378.15401489;Fred_1_0.279379
2;1512821432.4438472;Bart_0_1.000000;3364.51144976;
2;1512821432.4438472;Iris_0_8.000000;3182.53486249;
2;1512821432.4438472;Walt_0_22.000000;3160.44237095;
2;1512821432.4438472;Uris_1_0.010080;3159.31715292;
2;1512821432.4438472;Rick_0_17.000000;3152.17565601;
2;1512821432.4438472;Lois_0_11.000000;3146.3020164;
2;1512821432.4438472;Kent_0_10.000000;3131.45619155;
2;1512821432.4438472;York_0_24.000000;3115.96925082;
2;1512821432.4438472;Qurl_0_16.000000;3072.76933101;RIP
3;1512821438.778767;Anne_0_0.000000;2553.66760339;Anne_1_0.083448
3;1512821438.778767;Mark_0_12.000000;1144.63235912;
3;1512821438.778767;Uris_1_0.010080;1102.55160686;
3;1512821438.778767;York_0_24.000000;1098.52276759;
3;1512821438.778767;Uris_0_20.000000;1096.47162844;
3;1512821438.778767;Kent_0_10.000000;1036.80398046;
3;1512821438.778767;Nora_0_13.000000;1027.57380776;
3;1512821438.778767;Vlad_0_21.000000;973.319443564;
3;1512821438.778767;Rick_0_17.000000;960.549377716;
3;1512821438.778767;Iris_0_8.000000;921.452794417;RIP
4;1512821447.8848243;Anne_1_0.083448;3457.03790305;Anne_2_1.023267
4;1512821447.8848243;Anne_0_0.000000;3414.28951426;
4;1512821447.8848243;Fred_0_5.000000;3308.83250134;
4;1512821447.8848243;Vlad_0_21.000000;3302.74900324;
4;1512821447.8848243;Olga_0_14.000000;3246.50981476;
4;1512821447.8848243;Mark_0_12.000000;3153.97643713;
4;1512821447.8848243;Uris_0_20.000000;3149.40772803;
4;1512821447.8848243;Carl_0_2.000000;3133.49917917;
4;1512821447.8848243;Theo_0_19.000000;3106.03788559;
4;1512821447.8848243;Lois_0_11.000000;3080.91324732;RIP
5;1512821457.505085;Hans_0_7.000000;5409.92288453;Hans_1_0.119626
